speaker,text,domain-intent,rating 1,rating 2,rating 3,rating 4,rating 5,domain,intent,avg_rating,conv_ID,turn_id,wt_avg_rating,word_count,satisfaction_rating
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,80,41,3.0,1,Medium
USER,"Yes, I just happen to be looking for a place to stay tonight. The hotel should be located in the west part of town and it should include free parking.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,81,0,3.0,30,Medium
SYSTEM,Would you prefer a guesthouse or a hotel?,Hotel-Select,,,,,,Hotel,Select,,81,1,,8,Medium
USER,"Um, I don't care. I'd prefer it if it was cheap though.",Hotel-Inform,2.0,3.0,2.0,,,Hotel,Inform,2.33,81,2,2.33,12,Low
SYSTEM,The Cambridge Belfry is located in the west in the cheap price range with free parking. Would you like me to book it?,Hotel-Inform,,,,,,Hotel,Inform,,81,3,,23,Medium
USER,Is that a four star place?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,81,4,3.0,6,Medium
SYSTEM,"Yes, it does have 4 stars.",Hotel-Inform,,,,,,Hotel,Inform,,81,5,,6,Medium
USER,Please do. I need it for 4 nights on Friday. There are 6 of us.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,81,6,3.0,15,Medium
SYSTEM,"That one is not open then,but I do have one fitting the same criteria avaible, Finches, shall I book it?",Booking-NoBook,,,,,,Booking,NoBook,,81,7,,20,Medium
USER,Do they charge for parking?,,3.0,3.0,3.0,,,,,3.0,81,8,3.0,5,Medium
SYSTEM,There is free parking available for guests. Can I answer any other questions for you?,,,,,,,,,,81,9,,15,Medium
USER,Can I smoke at this hotel?,,2.0,3.0,3.0,,,,,2.67,81,10,2.67,6,Low
SYSTEM,"No, smoking isn't allowed at Finches Bed and Breakfast. Would you like me to book at that hotel?",,,,,,,,,,81,11,,18,Medium
USER,Is there a designated area for smoking outside?,,2.0,3.0,2.0,,,,,2.33,81,12,2.33,8,Low
SYSTEM,"No, there is not a designated area for smoking outside. Shall I go ahead and book a room for you?",,,,,,,,,,81,13,,20,Medium
USER,"Yes, as long as Finches is in the cheap price range please book it and give me the reference number.",Hotel-Request,3.0,3.0,2.0,,,Hotel,Request,2.67,81,14,2.67,20,Low
SYSTEM,"Okay, you're booked with reference number DAE0XR6A. May I help with anything else?",Booking-Book,,,,,,Booking,Book,,81,15,,13,Medium
USER,No thank you. Goodbye.,general-thank,3.0,3.0,2.0,,,general,thank,2.67,81,16,2.67,4,Low
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,81,17,3.0,1,Medium
USER,I'm looking to stay at a 3 star hotel in the north.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,82,0,3.0,12,Medium
SYSTEM,"Sorry, I have no results for that query. Would you like to try a different area of town?",Hotel-Request,,,,,,Hotel,Request,,82,1,,18,Medium
USER,Are there any moderate priced hotels in the North?,Hotel-Inform,3.0,2.0,3.0,,,Hotel,Inform,2.67,82,2,2.67,9,Low
SYSTEM,Yes I have two. Would you like me to book one?,Hotel-Inform,,,,,,Hotel,Inform,,82,3,,11,Medium
USER,I need a hotel to include free parking; does either have that?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,82,4,3.0,12,Medium
SYSTEM,Yes both of them have free parking.,Hotel-Inform,,,,,,Hotel,Inform,,82,5,,7,Medium
USER,Which one would you recommend?,,3.0,3.0,3.0,,,,,3.0,82,6,3.0,5,Medium
SYSTEM,How about the Ashley hotel?,Hotel-Inform,,,,,,Hotel,Inform,,82,7,,5,Medium
USER,Does the Ashley hotel require a reservation for parking in advance?,,3.0,3.0,3.0,,,,,3.0,82,8,3.0,11,Medium
SYSTEM,"No, reservations are not necessary at the Ashley. Is there anything else I can do for you today?",,,,,,,,,,82,9,,18,Medium
USER,Is the Ashley hotel a 3 star hotel?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,82,10,3.0,8,Medium
SYSTEM,the ashley is actually a 2 star hotel.,Hotel-Inform,,,,,,Hotel,Inform,,82,11,,8,Medium
USER,Is there anywhere on the grounds that I can smoke?,,3.0,3.0,3.0,,,,,3.0,82,12,3.0,10,Medium
SYSTEM,No smoking is being permitted on the entire property. Will that be ok with you?,,,,,,,,,,82,13,,15,Medium
USER,"That will be okay, can we book that.",,3.0,3.0,3.0,,,,,3.0,82,14,3.0,8,Medium
SYSTEM,"Please tell me how many people will be staying, starting on what day and for how many nights?",Booking-Request,,,,,,Booking,Request,,82,15,,18,Medium
USER,I do not want to book it. I need the postcode and address only.,Hotel-Request,3.0,2.0,3.0,,,Hotel,Request,2.67,82,16,2.67,14,Low
SYSTEM,Okay. The postcode for the Ashley Hotel is cb41er. The address is 74 Chesterton Road. Can I help with anything else today?,general-reqmore,,,,,,general,reqmore,,82,17,,22,Medium
USER,Does the hotel have a spa onsite?,,3.0,3.0,3.0,,,,,3.0,82,18,3.0,7,Medium
SYSTEM,Sorry there is no spa at the Ashley Hotel. Do you need to arrange transportation to the hotel?,,,,,,,,,,82,19,,18,Medium
USER,I'd like a taxi to travel from the restaurant to the hotel.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,82,20,3.0,12,Medium
SYSTEM,You never actually mentioned a restaurant. Are you needing help finding one?,Taxi-Request,,,,,,Taxi,Request,,82,21,,12,Medium
USER,"Yes, need a chinese food restaurant in the same area and price range as the hotel.",Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,82,22,3.0,16,Medium
SYSTEM,How many people?,Booking-Request,,,,,,Booking,Request,,82,23,,3,Medium
USER,"It will be just me today, thanks.",general-thank,3.0,3.0,3.0,,,general,thank,3.0,82,24,3.0,7,Medium
SYSTEM,Golden Wok sounds suitable for you. Do you want a reservation?,Restaurant-Inform,,,,,,Restaurant,Inform,,82,25,,11,Medium
USER,no. i just need the postcode and address,Restaurant-Request,3.0,2.0,3.0,,,Restaurant,Request,2.67,82,26,2.67,8,Low
SYSTEM,It is cb43hl 191 Histon Road Chesterton,Restaurant-Inform,,,,,,Restaurant,Inform,,82,27,,7,Medium
USER,Thanks. Sorry about that. I'd still like to request a taxi between the two.,Taxi-Inform,3.0,3.0,3.0,,,Taxi,Inform,3.0,82,28,3.0,14,Medium
SYSTEM,I will need to know where you are leaving from and going to and what time you wish to arrive or leave.,Taxi-Request,,,,,,Taxi,Request,,82,29,,22,Medium
USER,I will be commuting between the hotel and restaurant.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,82,30,3.0,9,Medium
SYSTEM,"Okay, let me work on booking that for you.",,,,,,,,,,82,31,,9,Medium
USER,"I need to leave the restaurant by 3:30, and I'll be going to the hotel.",Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,82,32,3.0,15,Medium
SYSTEM,Booking completed! Booked car type yellow honda Contact number 07378282192,Taxi-Inform,,,,,,Taxi,Inform,,82,33,,10,Medium
USER,Thank you for your help. That is all I need today. Goodbye,general-thank,3.0,4.0,3.0,,,general,thank,3.33,82,34,3.33,12,High
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,82,35,3.0,1,Medium
USER,I am looking for a place to stay. The hotel should be in the cheap price range and should be in the north,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,83,0,3.0,23,Medium
SYSTEM,"Okay. There is a 0 star place, and a 4 star place. Which do you prefer?",Hotel-Select,,,,,,Hotel,Select,,83,1,,16,Medium
USER,I don't care as long as it's cheap.,,3.0,3.0,3.0,,,,,3.0,83,2,3.0,8,Medium
SYSTEM,I think the Worth House is your best bet!,Hotel-Recommend,,,,,,Hotel,Recommend,,83,3,,9,Medium
USER,Does this hotel offer concierge service?,,2.0,3.0,3.0,,,,,2.67,83,4,2.67,6,Low
SYSTEM,"No, The Worth House doesn't offer concierge service. Should i make the reservation now?",,,,,,,,,,83,5,,14,Medium
USER,alright. book that one for me,,3.0,3.0,3.0,,,,,3.0,83,6,3.0,6,Medium
SYSTEM,"Are you booking for one person? When is your arrival and how long is your stay, please.",Booking-Request,,,,,,Booking,Request,,83,7,,17,Medium
USER,"Yes, only one person. I will be arriving on Sunday, for one night.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,83,8,3.0,13,Medium
SYSTEM,I'm sorry I don't have anything for Sunday night. Would you like to try a different hotel?,general-reqmore,,,,,,general,reqmore,,83,9,,17,Medium
USER,"I don't need a booking after all, sorry. Are there any cheap guesthouses in the north with free wifi?",Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,83,10,2.67,19,Low
SYSTEM,"Yes, there i the worth house and also city centre north b and b. Would you like me to book you a room at either one?",Hotel-Inform,,,,,,Hotel,Inform,,83,11,,26,Medium
USER,Please book a guesthouse. Can i also get the star rating and the postcode?,Hotel-Request,3.0,3.0,3.0,,,Hotel,Request,3.0,83,12,3.0,14,Medium
SYSTEM,"I have booked you at worth house. It is a 4 star accommodation, and the postcode is cb41da. Do you have any further questions?",Booking-Book,,,,,,Booking,Book,,83,13,,24,Medium
USER,"I know check in times vary by place, what are they here?",,3.0,3.0,3.0,,,,,3.0,83,14,3.0,12,Medium
SYSTEM,You may check in starting at 3:30 PM here. Do you need assistance with anything else?,,,,,,,,,,83,15,,16,Medium
USER,Does the Worth House have a lift on the premises?,,3.0,3.0,3.0,,,,,3.0,83,16,3.0,10,Medium
SYSTEM,"No, there isn't a lift available at Worth House. Will there be anything else you need?",,,,,,,,,,83,17,,16,Medium
USER,"No, that will be all. Thank you for your assistance.",general-thank,3.0,3.0,3.0,,,general,thank,3.0,83,18,3.0,10,Medium
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,83,19,3.0,1,Medium
USER,"Hi, I'm looking for information on entertainment attractions located in the centre.",Attraction-Inform,3.0,3.0,3.0,3.0,,Attraction,Inform,3.0,84,0,3.0,12,Medium
SYSTEM,I'm sorry. At the moment there are no entertainment attractions available in the centre.,Attraction-NoOffer,,,,,,Attraction,NoOffer,,84,1,,14,Medium
USER,Can you help me find a restaurant?,Restaurant-Inform,3.0,3.0,3.0,4.0,,Restaurant,Inform,3.25,84,2,3.13,7,Medium
SYSTEM,"Sure, I can help with that. Are you sure I can't help you find another attraction that you may like? There are so many great things to see.",general-reqmore,,,,,,general,reqmore,,84,3,,28,Medium
USER,You convinced me. How about a college?,Attraction-Inform,4.0,3.0,3.0,3.0,,Attraction,Inform,3.25,84,4,3.29,7,Medium
SYSTEM,"Yes, there several colleges available. Most have free entry. Do you have one in mind?",Attraction-Inform,,,,,,Attraction,Inform,,84,5,,15,Medium
USER,No. Just give me your best recommendation.,,3.0,2.0,2.0,3.0,,,,2.5,84,6,2.42,7,Low
SYSTEM,I recommend emmanuel college they are free to visit and located on saint andrew's street. Do you still want me to find a restaurant?,general-reqmore,,,,,,general,reqmore,,84,7,,24,Medium
USER,Not at this time but could you help me with a moderate priced hotel,Hotel-Inform,3.0,3.0,2.0,3.0,,Hotel,Inform,2.75,84,8,2.71,14,Low
SYSTEM,"We have 18 choice sany other preferences, any at all? please dont make me pick between 18 places, I want to make sure we find a good fit for you.",,,,,,,,,,84,9,,30,Medium
USER,I need a moderately priced hotel with free parking and wifi.,Hotel-Inform,3.0,2.0,2.0,3.0,,Hotel,Inform,2.5,84,10,2.42,11,Low
SYSTEM,"Please show me a moderately priced hotel nearby, and please make sure it includes free wifi and parking.",,,,,,,,,,84,11,,18,Medium
USER,I need a moderately priced hotel with free parking and wifi.,Hotel-Inform,3.0,3.0,1.0,3.0,,Hotel,Inform,2.5,84,12,2.42,11,Low
SYSTEM,I RECOMMEND acorn guest house,Hotel-Recommend,,,,,,Hotel,Recommend,,84,13,,5,Medium
USER,Does the hotel require a security deposit when a reservation is made?,,3.0,3.0,2.0,3.0,,,,2.75,84,14,2.71,12,Low
SYSTEM,"Yes, the hotel requires a security deposit of 20 gbp per stay when a reservation is made. Would you like to make a reservation?",,,,,,,,,,84,15,,24,Medium
USER,Book it if they allow smokers.,,3.0,2.0,2.0,3.0,,,,2.5,84,16,2.42,6,Low
SYSTEM,No smoking is allowed on this property. Do you have any other questions?,,,,,,,,,,84,17,,13,Medium
USER,"How about outside, can we smoke in a specific area at least?",,3.0,3.0,2.0,2.0,,,,2.5,84,18,2.58,12,Low
SYSTEM,The guest house does not have any designated smoking areas. Would you like me to make the reservation?,,,,,,,,,,84,19,,18,Medium
USER,That sounds good. please book it for 6 people and 5 nights starting from thursday.,Hotel-Inform,3.0,2.0,2.0,3.0,,Hotel,Inform,2.5,84,20,2.42,15,Low
SYSTEM,"Ok, I've made the booking for you. Your reference number is : UZ1KFAAI.",Booking-Book,,,,,,Booking,Book,,84,21,,13,Medium
USER,that is all i needed for now. have a great day,,3.0,3.0,2.0,3.0,,,,2.75,84,22,2.71,11,Low
USER,OVERALL,,3.0,2.0,2.0,3.0,,,,2.5,84,23,2.42,1,Low
USER,I am looking for a place to eat in the centre of town.,Restaurant-Inform,3.0,2.0,3.0,,,Restaurant,Inform,2.67,85,0,2.67,13,Low
SYSTEM,You have many different options to choose from as well as different price ranges. Are you looking for a casual or formal restaurant?,,,,,,,,,,85,1,,23,Medium
USER,"I don't really care, not really picky.",,3.0,4.0,3.0,,,,,3.33,85,2,3.33,7,High
SYSTEM,check out kymmoy. its asian oriental and its expensive. you want the adress?,Restaurant-Recommend,,,,,,Restaurant,Recommend,,85,3,,13,Medium
USER,yes adress and phone number please,Restaurant-Request,3.0,3.0,3.0,,,Restaurant,Request,3.0,85,4,3.0,6,Medium
SYSTEM,The address is 52 Mill Road City Centre. Their phone number is 01223311911.,Restaurant-Inform,,,,,,Restaurant,Inform,,85,5,,13,Medium
USER,Can i get the post code as well please?,,3.0,3.0,3.0,,,,,3.0,85,6,3.0,9,Medium
SYSTEM,The postcode is cb12as. I can make a reservation for you if you'd like.,Restaurant-Inform,,,,,,Restaurant,Inform,,85,7,,14,Medium
USER,I need reservations for 7 people at 17:30 on friday.,Restaurant-Inform,3.0,4.0,3.0,,,Restaurant,Inform,3.33,85,8,3.33,10,High
SYSTEM,Reference number is : MWDLZXJR. Is there anything else?,Booking-Book,,,,,,Booking,Book,,85,9,,9,Medium
USER,Does this restaurant offer high chairs for babies?,,3.0,2.0,3.0,,,,,2.67,85,10,2.67,8,Low
SYSTEM,"No, this restaurant is not equipped with high chairs for babies. Would you like any further information from me?",,,,,,,,,,85,11,,19,Medium
USER,Can you also find me a place to stay that includes free wifi and in the same price range as the restaurant?,Hotel-Inform,3.0,4.0,3.0,,,Hotel,Inform,3.33,85,12,3.33,22,High
SYSTEM,Do you wish to stay in the centre of town?,Hotel-Request,,,,,,Hotel,Request,,85,13,,10,Medium
USER,"It doesn't matter, as long as it is a guesthouse and includes free parking.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,85,14,3.0,14,Medium
SYSTEM,I'm sorry but there are no guesthouses that match your criteria. Would you like me to look for a hotel instead?,Hotel-NoOffer,,,,,,Hotel,NoOffer,,85,15,,21,Medium
USER,are you sure there are no moderately priced guesthouses with parking and wifi in all of cambridge? That seems unlikely to me,Hotel-Inform,3.0,3.0,2.0,,,Hotel,Inform,2.67,85,16,2.67,22,Low
SYSTEM,"There are several, do you have a specific area you are interested in?",Hotel-Request,,,,,,Hotel,Request,,85,17,,13,Medium
USER,I would like it moderate priced and make sure it is a guest house please.,,3.0,4.0,3.0,,,,,3.33,85,18,3.33,15,High
SYSTEM,"We have quite a few, may I suggest the acorn guest house? I need to know when you'll be arriving and the number of people please.",Booking-Request,,,,,,Booking,Request,,85,19,,26,Medium
USER,"My kids will be with me, are there restrictions on children?",,3.0,3.0,3.0,,,,,3.0,85,20,3.0,11,Medium
SYSTEM,"Yes, children of all ages are welcome. When should I book your hotel?",,,,,,,,,,85,21,,13,Medium
USER,it's for 5 nights for 7 people on friday.,Hotel-Inform,3.0,4.0,3.0,,,Hotel,Inform,3.33,85,22,3.33,9,High
SYSTEM,Your booking was successful. Reference number is : F20O5QD5. Is there anything else I can help you with?,Booking-Book,,,,,,Booking,Book,,85,23,,18,Medium
USER,Could you please tell me whether the Acorn Guest House charges a fee for WiFi usage?,,3.0,4.0,3.0,,,,,3.33,85,24,3.33,16,High
SYSTEM,The Wifi is completely free at the Acorn Guest House. Do you need anything else?,,,,,,,,,,85,25,,15,Medium
USER,"Thanks, that about does it for me today. Have a good one, bye!",general-bye,4.0,4.0,3.0,,,general,bye,3.67,85,26,3.67,13,High
USER,OVERALL,,3.0,4.0,3.0,,,,,3.33,85,27,3.33,1,High
USER,"Yes, would you be able to help me find a train leaving from Cambridge?",Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,86,0,3.0,14,Medium
SYSTEM,I can definitely help with that. What day would you like to travel? And what is your desired destination?,Train-Request,,,,,,Train,Request,,86,1,,19,Medium
USER,I want to travel on Saturday from Cambridge to Kings Lynn.,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,86,2,3.0,11,Medium
SYSTEM,There are 19 different trains on Saturday from Cambridge to Kings Lynn. What time would you like to arrive by?,Train-Request,,,,,,Train,Request,,86,3,,20,Medium
USER,I would like to leave after 14:30. Could you find me a train for that time?,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,86,4,3.0,16,Medium
SYSTEM,The first train to leave after 14:30 is TR6982 and leaves at 15:11,Train-Inform,,,,,,Train,Inform,,86,5,,13,Medium
USER,Is it possible to cancel the train ticket later if I need to?,,3.0,3.0,3.0,,,,,3.0,86,6,3.0,13,Medium
SYSTEM,You may cancel your booking for free if delayed; otherwise there is a 12 GBP fee. Would you like to make a reservation for the train?,,,,,,,,,,86,7,,26,Medium
USER,"OK, could you book me 7 tickets for the TR6982?",Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,86,8,3.0,10,Medium
SYSTEM,"Booking was successful, the total fee is 54.88 GBP payable at the station. Is there anything else I can help you with?",Train-OfferBooked,,,,,,Train,OfferBooked,,86,9,,22,Medium
USER,I'm looking to stay in a guesthouse while I'm there. I'd like a place that has free parking.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,86,10,3.0,18,Medium
SYSTEM,There are a number of guesthouses. Do you have a price range and an area that you prefer?,Hotel-Request,,,,,,Hotel,Request,,86,11,,18,Medium
USER,No. What is available?,,3.0,3.0,3.0,,,,,3.0,86,12,3.0,4,Medium
SYSTEM,I have 21 places that fit what you want. Do you have a price preference?,Hotel-Request,,,,,,Hotel,Request,,86,13,,15,Medium
USER,Not at the moment. Can you recommend any moderately priced guesthouses to accommodate 7 people?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,86,14,3.0,15,Medium
SYSTEM,Is there a specific area of town you would like to stay in?,Hotel-Request,,,,,,Hotel,Request,,86,15,,13,Medium
USER,Not particularly. I just need one for 5 nights starting Monday. Whichever you recommend.,Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,86,16,2.67,14,Low
SYSTEM,"I am very sorry, but I was unable to book a guesthouse, would you be able to check in at a later day, or could you stay for a shorter period?",Booking-Request,,,,,,Booking,Request,,86,17,,31,Medium
USER,Can you book it for 3 nights?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,86,18,3.0,7,Medium
SYSTEM,"You're booked at the Acorn Guesthouse for 3 nights, 7 people, starting on Monday. Your reference number is WU51A5WI. Can I help with anything else today?",Booking-Book,,,,,,Booking,Book,,86,19,,26,Medium
USER,What are my parking options if I am driving to the Acorn Guesthouse?,,3.0,3.0,3.0,,,,,3.0,86,20,3.0,13,Medium
SYSTEM,"Unfortunately, there are no parking options at the Acorn Guest House. Is there anything else I can do for you?",,,,,,,,,,86,21,,20,Medium
USER,Is there an age requirement for checking in?,,3.0,3.0,3.0,,,,,3.0,86,22,3.0,8,Medium
SYSTEM,Acorn Guest House does not have an age restriction for check in. Will you be needing anything else?,,,,,,,,,,86,23,,18,Medium
USER,I do not need anymore help. Thank you for your help.,general-thank,3.0,3.0,4.0,,,general,thank,3.33,86,24,3.33,11,High
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,86,25,3.0,1,Medium
USER,I need the address of an expensive restaurant in the east part of town.,Restaurant-Request,3.0,3.0,3.0,,,Restaurant,Request,3.0,87,0,3.0,14,Medium
SYSTEM,"Would you prefer British, Indian, or Chinese food, or a gastropub?",Restaurant-Select,,,,,,Restaurant,Select,,87,1,,11,Medium
USER,I don't have a preference.,,3.0,3.0,3.0,,,,,3.0,87,2,3.0,5,Medium
SYSTEM,"The grafton hotel restaurant serves british food, is in the east part of town and is in the expensive price range. Would you like their location?",general-reqmore,,,,,,general,reqmore,,87,3,,26,Medium
USER,Does this restaurant offer vegetarian food?,,3.0,3.0,3.0,,,,,3.0,87,4,3.0,6,Medium
SYSTEM,Grafton Hotel Restaurant does not have vegetarian options. Would you like more information about the restaurant.,,,,,,,,,,87,5,,16,Medium
USER,Is Amex accepted at Grafton Hotel Restaurant?,,3.0,3.0,3.0,,,,,3.0,87,6,3.0,7,Medium
SYSTEM,"Yes, American Express along with Mastercard and Visa are taken there. Can I help you with anything else?",,,,,,,,,,87,7,,18,Medium
USER,"Yes, please give me their address.",Attraction-Request,3.0,4.0,3.0,,,Attraction,Request,3.33,87,8,3.33,6,High
SYSTEM,Their address is Grafton Hotel 619 Newmarket Road Fen Ditton,Restaurant-Inform,,,,,,Restaurant,Inform,,87,9,,10,Medium
USER,Do you know if there are any high chairs for babies there?,,3.0,3.0,3.0,,,,,3.0,87,10,3.0,12,Medium
SYSTEM,"High chairs aren't available, I apologize. Has everything been answered for you?",,,,,,,,,,87,11,,12,Medium
USER,"thank you, goodbye.",general-bye,3.0,4.0,3.0,,,general,bye,3.33,87,12,3.33,3,High
USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,87,13,3.0,1,Medium
USER,"I need to find a hotel to stay in, some place with free parking. Thank you.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,88,0,3.0,16,Medium
SYSTEM,i have 29 options for you,Hotel-Inform,,,,,,Hotel,Inform,,88,1,,6,Medium
USER,"Okay, thank you! I would like a 4-star hotel.",Hotel-Inform,4.0,3.0,4.0,,,Hotel,Inform,3.67,88,2,3.67,9,High
SYSTEM,"That narrowed it down some, but we still have plenty of options available. Is there anything else you're looking for like a certain price range or maybe internet?",Hotel-Request,,,,,,Hotel,Request,,88,3,,28,Medium
USER,Any place in the south area of town?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,88,4,3.0,8,Medium
SYSTEM,I found two 4-star hotels in that area: Aylesbray Lodge Guest House and Rosa's Bed and Breakfast.,Hotel-Inform,,,,,,Hotel,Inform,,88,5,,17,Medium
USER,"Yes the first hotel will do great, I need to book for 4 people and 2 nights starting from Tuesday.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,88,6,3.0,20,Medium
SYSTEM,Booking was successful. Reference number is : PZ6RF1H0. is there anything else i could help you with?,Booking-Book,,,,,,Booking,Book,,88,7,,17,Medium
USER,Is there concierge service available at the hotel?,,3.0,3.0,3.0,,,,,3.0,88,8,3.0,8,Medium
SYSTEM,There is not concierge service available at the hotel. Can I assist you with anything else?,,,,,,,,,,88,9,,16,Medium
USER,"I would also like to find a pricey Gastropub,",Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,88,10,3.0,9,Medium
SYSTEM,There are three expensive gastropub restaurants. Would you rather be in the centre or the east?,Restaurant-Select,,,,,,Restaurant,Select,,88,11,,16,Medium
USER,I would prefer the south.,,3.0,3.0,3.0,,,,,3.0,88,12,3.0,5,Medium
SYSTEM,Unfortunately the only restaurants that meet your criteria are in the centre or the east.,Restaurant-Inform,,,,,,Restaurant,Inform,,88,13,,15,Medium
USER,Can you look again? I thought I saw one in the south area the last time I was in town.,,3.0,3.0,3.0,,,,,3.0,88,14,3.0,20,Medium
SYSTEM,There are none in the south side of town.,Restaurant-NoOffer,,,,,,Restaurant,NoOffer,,88,15,,9,Medium
USER,Can you check all the gastropubs in town?,,3.0,3.0,3.0,,,,,3.0,88,16,3.0,8,Medium
SYSTEM,"There are 4 gastropub restaurants in town. Three are located in the centre, one is in the east. Three are expensive, and one is moderate.",Restaurant-Inform,,,,,,Restaurant,Inform,,88,17,,25,Medium
USER,"I'm sorry, I need a restaurant in the south.",Restaurant-Inform,2.0,2.0,2.0,,,Restaurant,Inform,2.0,88,18,2.0,9,Low
SYSTEM,There are no gastropub restaurants in the south. Would you like a different kind of food?,Restaurant-Request,,,,,,Restaurant,Request,,88,19,,16,Medium
USER,"Yes, let's try an Italian restaurant in the south, please. There should be one.",Restaurant-Inform,4.0,3.0,3.0,,,Restaurant,Inform,3.33,88,20,3.33,14,High
SYSTEM,I have two Italian restaurants in south. We have the pizza hut cherry hinton and frankie and bennys. Which would you prefer?,Restaurant-Select,,,,,,Restaurant,Select,,88,21,,22,Medium
USER,I'll go with frankie and bennys. Do you have their phone number and address?,Restaurant-Request,3.0,3.0,3.0,,,Restaurant,Request,3.0,88,22,3.0,14,Medium
SYSTEM,Yes. Their phone number is 01223412430 located Cambridge Leisure Park Clifton Way Cherry Hinton. Anything else?,general-reqmore,,,,,,general,reqmore,,88,23,,16,Medium
USER,Will I be able to pay with my Visa card at the restaurant?,,3.0,3.0,3.0,,,,,3.0,88,24,3.0,13,Medium
SYSTEM,"Yes, Frankie and Benny's accepts all major credit cards. When do you need the taxi to pick you up?",,,,,,,,,,88,25,,19,Medium
USER,Can you help me book a taxi?,Taxi-Inform,3.0,3.0,3.0,,,Taxi,Inform,3.0,88,26,3.0,7,Medium
SYSTEM,I can book a taxi but I need to know where you need to be picked up and dropped off. Is there a certain time?,Taxi-Request,,,,,,Taxi,Request,,88,27,,25,Medium
USER,I need to leave the hotel by 6 and head to the restaurant.,Taxi-Inform,3.0,3.0,3.0,,,Taxi,Inform,3.0,88,28,3.0,13,Medium
SYSTEM,I have booked you with a red honda taxi. Their phone number is 07534551524. Can I help with anything else?,general-reqmore,,,,,,general,reqmore,,88,29,,20,Medium
USER,Will I be able to cancel the Taxi and will there be a cancellation fee?,,3.0,3.0,3.0,,,,,3.0,88,30,3.0,15,Medium
SYSTEM,"Yes,if you cancel within 24 hours in advance, it will be free. After that cost will be 10 GBP. Is there anything else I can assist you with?",,,,,,,,,,88,31,,28,Medium
USER,"No thank you, you were helpful",general-thank,3.0,4.0,3.0,,,general,thank,3.33,88,32,3.33,6,High
USER,OVERALL,,3.0,4.0,3.0,,,,,3.33,88,33,3.33,1,High
USER,I want to find a moderately priced restaurant that serves british food. What is the address and phone number?,Restaurant-Request,4.0,3.0,3.0,3.0,3.0,Restaurant,Request,3.2,89,0,3.29,19,Medium
SYSTEM,There are 5 moderately price restaurants that serve British food. Is there an area of town that would work best for you?,Restaurant-Request,,,,,,Restaurant,Request,,89,1,,22,Medium
USER,I do not care. Please suggest one.,Restaurant-Inform,3.0,3.0,2.0,3.0,3.0,Restaurant,Inform,2.8,89,2,2.71,7,Low
SYSTEM,"saint johns chop house serves british food, is in the west area of town and is in the moderate price range",Restaurant-Inform,,,,,,Restaurant,Inform,,89,3,,21,Medium
USER,What is their address and phone number?,Restaurant-Request,4.0,3.0,3.0,3.0,3.0,Restaurant,Request,3.2,89,4,3.29,7,Medium
SYSTEM,"the phone number is 01223353110 and the address is 21-24 Northampton Street, is there anything else I can help you with?",general-reqmore,,,,,,general,reqmore,,89,5,,21,Medium
USER,Can you tell me if they have a bar there?,,4.0,3.0,3.0,3.0,3.0,,,3.2,89,6,3.29,10,Medium
SYSTEM,You are able to get alcohol at Saint Johns Chop House. Is there anything else you need to know?,,,,,,,,,,89,7,,19,Medium
